lat,lon,arrival_time
49.873398,14.121756,7966
49.873398,14.1271708,7599
49.873398,14.1325856,7389
49.873398,14.138000400000001,7302
49.873398,14.143415200000002,7384
49.873398,14.148830000000002,7343
49.873398,14.154244800000003,7648
49.873398,14.159659600000003,7930
49.873398,14.165074400000004,7908
49.873398,14.170489200000004,8052
49.873398,14.23546680000001,8412
49.873398,14.24088160000001,8082
49.873398,14.246296400000011,7773
49.873398,14.251711200000011,7204
49.873398,14.257126000000012,5671
49.873398,14.262540800000012,5292
49.873398,14.267955600000013,4955
49.873398,14.273370400000013,5066
49.873398,14.278785200000014,5431
49.873398,14.284200000000014,5813
49.873398,14.332933200000019,8648
49.873398,14.33834800000002,6994
49.873398,14.34376280000002,6831
49.873398,14.34917760000002,6852
49.873398,14.354592400000021,7044
49.873398,14.360007200000021,8194
49.873398,14.365422000000022,7980
49.873398,14.370836800000022,8198
49.873398,14.376251600000023,8555
49.873398,14.381666400000023,6048
49.873398,14.387081200000024,5715
49.873398,14.392496000000024,5624
49.873398,14.397910800000025,5908
49.873398,14.403325600000025,6270
49.873398,14.408740400000026,6796
49.873398,14.414155200000026,6857
49.873398,14.419570000000027,7286
49.873398,14.424984800000027,7251
49.873398,14.430399600000028,7085
49.873398,14.435814400000028,7262
49.873398,14.441229200000029,7650
49.873398,14.44664400000003,8039
49.873398,14.45747360000003,11792
49.873398,14.46288840000003,8893
49.873398,14.468303200000031,11224
49.873398,14.473718000000032,11585
49.873398,14.479132800000032,11970
49.873398,14.489962400000033,8602
49.873398,14.495377200000034,8087
49.873398,14.500792000000034,7973
49.873398,14.506206800000035,8091
49.873398,14.511621600000035,8352
49.873398,14.517036400000036,8874
49.873398,14.522451200000036,8960
49.873398,14.582014000000042,8568
49.873398,14.587428800000042,8243
49.873398,14.592843600000043,8066
49.873398,14.598258400000043,8210
49.873398,14.603673200000044,8167
49.873398,14.609088000000044,7822
49.873398,14.614502800000045,7939
49.873398,14.619917600000045,7851
49.873398,14.625332400000046,7843
49.873398,14.630747200000046,7986
49.873398,14.636162000000047,8405
49.873398,14.641576800000047,8237
49.873398,14.646991600000048,8254
49.873398,14.652406400000048,8447
49.873398,14.657821200000049,8456
49.87639782,14.121756,7755
49.87639782,14.1271708,7637
49.87639782,14.1325856,7515
49.87639782,14.138000400000001,7516
49.87639782,14.143415200000002,7316
49.87639782,14.148830000000002,7233
49.87639782,14.154244800000003,7603
49.87639782,14.159659600000003,7643
49.87639782,14.165074400000004,7577
49.87639782,14.170489200000004,7750
49.87639782,14.175904000000005,7835
49.87639782,14.24088160000001,8282
49.87639782,14.246296400000011,8059
49.87639782,14.251711200000011,7430
49.87639782,14.257126000000012,7230
49.87639782,14.262540800000012,5464
49.87639782,14.267955600000013,5261
49.87639782,14.273370400000013,5314
49.87639782,14.278785200000014,5575
49.87639782,14.284200000000014,6379
49.87639782,14.33834800000002,7127
49.87639782,14.34376280000002,6823
49.87639782,14.34917760000002,6691
49.87639782,14.354592400000021,6862
49.87639782,14.360007200000021,7179
49.87639782,14.365422000000022,7833
49.87639782,14.370836800000022,8141
49.87639782,14.376251600000023,6271
49.87639782,14.381666400000023,5929
49.87639782,14.387081200000024,5621
49.87639782,14.392496000000024,5478
49.87639782,14.397910800000025,5851
49.87639782,14.403325600000025,6237
49.87639782,14.408740400000026,6931
49.87639782,14.414155200000026,7170
49.87639782,14.419570000000027,7303
49.87639782,14.424984800000027,7145
49.87639782,14.430399600000028,7105
